Contract Name,Intuit MSA,,,,,,,,,,,,
File URL,https://drive.google.com/file/d/1kJpujNVGU7Bk8nu35s3BZCtAWo-gHiqb/view?usp=sharing,,,,,,,,,,,,
,,,,Helpful,,,Honest,,,Harmless,,,
"Termination for convenience (Yes, No, N/A)",Does this contract allows for termination for convenience?,N/A,,,,,,,,,,,
Notice of termination for convenience (Days),What is the duration of notice period that each party needs to provide before applying for the termination for convenience?,N/A,,,,,,,,,,,
"Late Payment Charges (Yes, No, N/A)",Do customer need to pay charges or pentalties for the late payment of invoice?,N/A,,,,,,,,,,,
Late Payment Penalty,How are the late payment pentalties or fees charged to customers ?,N/A,,,,,,,,,,,
Limitations of liability (Amount),What is the amount covered in the clause for limitations of liability ?,"$5,000,000 or amounts paid by Intuit to Contractor in the past 12 months",Page 6,,,,,,,,,,
"Assignment (consent, No consent, N/A)",Do customer needs to provide consent to the service provider before assigning its rights or obligations to another or third party?,Consent,"Page 6, Section 14(b)",,,,,,,,,,
"Name and logo use (Yes, No, N/A)",Does this contract allows the service provider to use the name and logo of customer?,N/A,"Page 4, Section 7",,,,,,,,,,
"Deletion of Data (Yes, No, N/A)",Does this contract has a provision that mentions that customer data will be deleted upon request by customer or after closure or termination of agreement for whatsoever reason?,Yes,"Page 4, Section 9(a)",,,,,,,,,,
Customer Indemnity,What are the terms for customer indemnification?,"Intuit agrees to defend, indemnify and hold Contractor and its affiliates, and all of their respective officers, directors, agents and employees, harmless from and against any and all Claims
asserted by a third party arising out of or related to, and incurred by such indemnitee in connection with: (i) any infringement or misappropriation of any patent, invention, trade secret, copyright,
trademark, proprietary information nondisclosure or other proprietary rights resulting from the use of any Intuit Materials or Intuit resources by Contractor in the performance of the Services or
provision of any deliverables, other than claims based upon or arising out of any combination, operation or use of any Intuit Materials or Intuit resources with systems, software or other resources
not provided by Intuit if combined, operated or used in a manner other than that to which the parties have agreed; (ii) the damage to or loss or destruction of any real or tangible personal property in
the possession or under the control of Intuit, except to the extent proximately caused by Contractor or its agents or employees; (iii) the death or bodily injury of any agent, employee, subcontractor,
customer, business invitee or business visitor of Intuit, except to the extent proximately caused by Contractor or its agents or employees; or (iv) the negligent acts, omissions and/or willful
misconduct of Intuit in using the Services provided by Contractor, or in supplying the Intuit Materials or any Intuit resources, under this Agreement. Notwithstanding the foregoing, Intuit shall have
no duty to indemnify Contractor for Claims to the extent arising from the Contractor Materials or Contractor Provided Systems, whether provided, distributed or otherwise used or handled by Intuit
or by Contractor on behalf of Intuit.","Page 5, Section 11(b)",,,,,,,,,,
Service Provider indemnity,What are the terms for service provider indemnification?,"Contractor defends, indemnifies Intuit from claims, liabilities, losses, damages, actions, judgments, costs, expenses including attorneys' fees arising from IP infringement, misconduct, death/bodily injury except caused by Intuit; Intuit indemnifies Contractor from claims arising from Intuit's misconduct using services or materials; Notice of claims must be given promptly; Indemnifying Party directs defense, settlement; Indemnified may employ separate counsel if conflict of interest or defense not assumed; No liability for settlements without written consent; Indemnifying Party obligations not relieved by lack of notice except if damage from lack of actual notice.","Page 5, Section 11(b)",,,,,,,,,,
Customer notice for indemnitiy claim,Do customer or client needs to send a notice for claiming the indemnification?,"The party seeking indemnification under Section 11(a) or 11(b), as the case may be (the “Indemnified Party”), will give prompt written notice to the other party (the “Indemnifying Party”).
(The failure by an Indemnified Party to give notice as provided, above, shall not relieve the Indemnifying Party of its obligations under this Section 11(c), except to the extent that the failure results
in the failure of actual notice and the Indemnifying Party is damaged as a result of the failure to give notice.)","Page 5, Section 11(c)",,,,,,,,,,
"Indemnify Attorney fees (Yes, No, N/A)",Does this contract's indimnification terms cover the attorney's fees for both service provider and customer?,Yes,"Page 5, Section 11(c)",,,,,,,,,,
"Price increase (Yes, No, N/A)",Does this contract has provision for increase the fees or payment or price ?,Yes,"Page 3, Section (d)",,,,,,,,,,
Notice for price increase (days),What is the duration of notice for notifying customer about the increase in price or fees?,N/A,,,,,,,,,,,
Insurance Clause,What is the insurance clause according to this agreement?,"Insurance. Contractor will, at Contractor’s expense, maintain its current insurance policies that cover Contractor’s activities under this Agreement and the activities of Contractor’s
employees, agents and representatives. Contractor will name Intuit as an additional insured on such policy. Contractor shall provide Intuit with a certificate of insurance evidencing such coverage.
In addition, Contractor will provide Intuit with written notice of any cancellation or reduction in coverage or limits",Page 5 . Section 12,,,,,,,,,,
Maintenance of Insurance,What is the provision for maintainance of insurance in this agreement?,"Contractor will, at Contractor’s expense, maintain its current insurance policies that cover Contractor’s activities under this Agreement and the activities of Contractor’s employees, agents and representatives.",Page 5 . Section 12,,,,,,,,,,
Provide notice for insurance (Days),What is the notice period for providing the insurance?,N/A,,,,,,,,,,,
Service Provider Intellectual Property Rights,What are the intellectual property rights for the service provider in this agreement?,Contractor shall own all intellectual property rights in and to the Contractor Materials and Intuit shall own all intellectual property rights in and to the Intuit Materials.,"Page 4, Section 8(a)",,,,,,,,,,
Customer Intellectual property rights,What are the intellectual property rights for customer in this agreement?,Contractor shall own all intellectual property rights in and to the Contractor Materials and Intuit shall own all intellectual property rights in and to the Intuit Materials.,"Page 4, Section 8(a)",,,,,,,,,,
